movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Big Fish,PG-13,122919055,12/10/03 0:00,125,70000000,66809693
Big Hero 6,PG,657818612,11/7/14 0:00,108,165000000,222527828
The Big Kahuna,R,3728888,4/28/00 0:00,90,7000000,3165544
Big Miracle,PG,24719215,2/3/12 0:00,123,40000000,20157300
Big Momma's House,PG-13,173959438,6/2/00 0:00,98,30000000,117559438
Big Momma's House 2,PG-13,138259062,1/27/06 0:00,99,40000000,70165972
"Big Mommas: Like Father, Like Son",PG-13,82686066,2/18/11 0:00,107,32000000,37915414
The Big Short,R,132950761,12/11/15 0:00,130,28000000,70259870
Big Trouble,PG-13,8493890,4/5/02 0:00,85,40000000,7267307
The Big Wedding,R,46519348,4/26/13 0:00,89,35000000,21819348
The Big,R,367241,N/A,100,14000000,N/A
The Big Year,PG,7448385,10/14/11 0:00,100,41000000,7204138
Bigger Than the Sky,PG-13,N/A,2/18/05 0:00,106,750000,21398
Biker Boyz,PG-13,23510601,1/31/03 0:00,111,24000000,22076772
Billy Bathgate,R,N/A,11/1/91 0:00,107,48000000,15565363
Billy Elliot,R,109280263,10/13/00 0:00,90,5000000,21995263
Billy Madison,PG-13,26488734,2/10/95 0:00,88,10000000,25588734
Birdman,R,103215094,10/17/14 0:00,119,18000000,42340598
Birth,R,23925492,10/29/04 0:00,100,20000000,5095038
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
Black and White,R,5541431,4/7/00 0:00,99,12000000,5277299
Black Book,R,26768563,4/4/07 0:00,145,21000000,4398532
The Black Dahlia,R,49332692,9/15/06 0:00,119,50000000,22545080
Black Hawk Down,R,172989651,12/28/01 0:00,144,92000000,108638745
Black Knight,PG-13,39976235,11/21/01 0:00,95,50000000,33426971
Black Mass,R,99775678,9/18/15 0:00,122,53000000,62575678
Black Nativity,PG,7454185,11/27/13 0:00,92,17500000,7018189
Black or White,PG-13,21571189,1/30/15 0:00,121,9000000,21571189
Black Snake Moan,R,10903846,3/2/07 0:00,116,15000000,9396870
Black Swan,R,329398046,12/3/10 0:00,103,13000000,106954678
Blackhat,R,19652057,1/16/15 0:00,135,70000000,8005980
Blade II,R,155010032,3/22/02 0:00,117,54000000,82348319
Blade: Trinity,R,128905366,12/8/04 0:00,114,65000000,52411906
Blades of Glory,PG-13,145708642,3/30/07 0:00,93,61000000,118594548
The Blair Witch Project,R,248639099,7/16/99 0:00,86,60000,140539099
Blast from the Past,PG-13,40263020,2/12/99 0:00,111,35000000,26511114
Blended,PG-13,128034610,5/23/14 0:00,117,40000000,46294610
Bless the Child,R,40443010,8/11/00 0:00,107,65000000,29381494
The Blind Side,PG-13,309208309,11/20/09 0:00,126,29000000,255959475
Blindness,R,19844979,10/3/08 0:00,118,25000000,3351751
